,zip_code,aw_zip
1703,27302.0,
1704,27302.0,
1705,27302.0,
1706,98421.0,
1707,77535.0,
1708,75115.0,
1709,78130.0,
1710,78130.0,
1711,18517.0,
1712,44720.0,
1713,3106.0,
1714,39401.0,
1715,55438.0,
1716,48193.0,
1717,21742.0,
1718,66106.0,
1719,46140.0,
1720,46140.0,
1721,60484.0,
1722,30180.0,
1723,33801.0,
1724,32226.0,
1725,80538.0,
1726,80538.0,
1727,95776.0,
1728,72143.0,
1729,72143.0,
1730,38111.0,
1731,38111.0,
1732,18372.0,
1733,28027.0,
1734,46327.0,
1735,61008.0,
1736,30288.0,
1737,72712.0,
1738,72712.0,
1739,72712.0,
1740,72712.0,
1741,23185.0,
1742,66546.0,
1743,60421.0,
1744,30458.0,
1745,36544.0,
1746,30117.0,
1747,30117.0,
1748,962.0,
1749,75241.0,
1750,30253.0,
1751,74464.0,
1752,74465.0,
1753,72756.0,
1754,72756.0,
1755,72757.0,
1756,72758.0,
1757,76712.0,
1758,29303.0,
1759,12095.0,
1760,12095.0,
1761,21795.0,
1762,31794.0,
1763,72716.0,
1764,72716.0,
1765,75247.0,
1766,72701.0,
1767,47933.0,
1768,60443.0,
1769,33611.0,
1770,76177.0,
1771,18015.0,
1772,40165.0,
1773,46123.0,
1774,30349.0,
1775,33897.0,
1776,91708.0,
1777,72721.0,
1778,72903.0,
1779,84737.0,
1780,75801.0,
1781,29360.0,
1782,13459.0,
1783,46135.0,
1784,35055.0,
1785,92307.0,
1786,96080.0,
1787,19977.0,
1788,32615.0,
1789,34602.0,
1790,34981.0,
1791,31533.0,
1792,30241.0,
1793,52641.0,
1794,61362.0,
1795,47274.0,
1796,66067.0,
1797,42240.0,
1798,70570.0,
1799,49036.0,
1800,65559.0,
1801,39601.0,
1802,28348.0,
1803,28150.0,
1804,3077.0,
1805,13403.0,
1806,43123.0,
1807,97838.0,
1808,18466.0,
1809,16881.0,
1810,37809.0,
1811,75803.0,
1812,79072.0,
1813,76266.0,
1814,77474.0,
1815,84029.0,
1816,22841.0,
1817,23885.0,
1818,53916.0,
1819,54751.0,
1820,36010.0,
1821,36801.0,
1822,72830.0,
1823,85122.0,
1824,34269.0,
1825,32063.0,
1826,33881.0,
1827,30656.0,
1828,62450.0,
1829,61081.0,
1830,46933.0,
1831,40741.0,
1832,70455.0,
1833,4240.0,
1834,64701.0,
1835,38652.0,
1836,69101.0,
1837,87031.0,
1838,89434.0,
1839,43160.0,
1840,43952.0,
1841,74051.0,
1842,73075.0,
1843,15522.0,
1844,17901.0,
1845,29728.0,
1846,37160.0,
1847,76033.0,
1848,77357.0,
1849,76504.0,
1850,84307.0,
1851,22942.0,
1852,98930.0,
1853,54660.0,
1854,82009.0,
1855,80019.0,
1856,46706.0,
1857,65270.0,
1858,27537.0,
1859,75160.0,
1860,56001.0,
1861,,85338.0
1862,,92408.0
1863,,92408.0
1864,,92408.0
1865,,92408.0
1866,,92408.0
1867,,95363.0
1868,,95304.0
1869,,92374.0
1870,,92518.0
1871,,80019.0
1872,,80216.0
1873,,6095.0
1874,,6492.0
1875,,6473.0
1876,,19720.0
1877,,19720.0
1878,,19709.0
1879,,19709.0
1880,,33570.0
1881,,33566.0
1882,,33566.0
1883,,32218.0
1884,,32219.0
1885,,30122.0
1886,,30291.0
1887,,30517.0
1888,,60433.0
1889,,60433.0
1890,,62025.0
1891,,62048.0
1892,,62048.0
1893,,60449.0
1894,,60502.0
1895,,46168.0
1896,,46168.0
1897,,46168.0
1898,,46231.0
1899,,47130.0
1900,,47130.0
1901,,66219.0
1902,,66219.0
1903,,42718.0
1904,,40213.0
1905,,41048.0
1906,,41048.0
1907,,41048.0
1908,,41048.0
1909,,40511.0
1910,,40511.0
1911,,40165.0
1912,,40165.0
1913,,40165.0
1914,,40165.0
1915,,21901.0
1916,,2720.0
1917,,48150.0
1918,,48150.0
1919,,55379.0
1920,,55379.0
1921,,89506.0
1922,,89506.0
1923,,3063.0
1924,,8016.0
1925,,7608.0
1926,,14086.0
1927,,28027.0
1928,,28027.0
1929,,28214.0
1930,,44087.0
1931,,43018.0
1932,,43125.0
1933,,18202.0
1934,,17028.0
1935,,17013.0
1936,,17013.0
1937,,15205.0
1938,,15205.0
1939,,29316.0
1940,,37090.0
1941,,37090.0
1942,,37127.0
1943,,37421.0
1944,,76177.0
1945,,76177.0
1946,,76177.0
1947,,78227.0
1948,,76155.0
1949,,77338.0
1950,,75134.0
1951,,78666.0
1952,,23803.0
1953,,98390.0
1954,,98390.0
1955,,53144.0
1956,,53144.0
1957,,92373.0
1958,,33897.0
1959,,32221.0
1960,,30344.0
1961,,30549.0
1962,,46052.0
1963,,46075.0
1964,,46241.0
1965,,66030.0
1966,,67337.0
1967,,2072.0
1968,,48183.0
1969,,89081.0
1970,,89408.0
1971,,8085.0
1972,,8085.0
1973,,8691.0
1974,,7001.0
1975,,7001.0
1976,,7001.0
1977,,8832.0
1978,,8512.0
1979,,27703.0
1980,,18640.0
1981,,18640.0
1982,,18031.0
1983,,18031.0
1984,,18045.0
1985,,17015.0
1986,,17015.0
1987,,17015.0
1988,,17339.0
1989,,18424.0
1990,,18424.0
1991,,29172.0
1992,,37310.0
1993,,75261.0
1994,,75261.0
1995,,78154.0
1996,,77423.0
1997,,23836.0
1998,,23836.0
1999,,20166.0
2000,,22624.0
2001,,23005.0
2002,,98327.0
