,county,state,state_abbrev,size_rank,avg_home_price,area_sq_mi,unemployment_rate,unemployment_change,high_school,population,int_migration_rate,net_migration_rate,pop_growth,poverty_rate,median_hh_income,property_tax_rate,amazon_indicator,walmart_indicator,warehouse_target,pop_density,latitude,longitude
0,Los Angeles County,California,CA,1,560333.4166666665,4750.94,4.8,-7.7,78.1,10118759,3.4560485519,-5.558295275,3.0168289261937447,14.9,64912,0.6990568035022188,0,1,1,2129.8435677992147,34.315507200000006,-118.2096814
1,San Diego County,California,CA,5,530174.8333333335,4525.68,4.0,-6.8000000000000025,86.69999999999997,3325468,3.4359351802,-1.311984723,7.158881528279841,11.9,76048,0.6990568035022188,0,0,0,734.7996323204468,32.9637838,-116.7706277
2,Orange County,California,CA,6,670382.6666666665,948.07,3.5,-6.1999999999999975,84.7,3179950,3.2664336934,-2.430614659,5.416469560184303,11.5,86031,0.6990568035022188,0,0,0,3354.1299693060637,33.750037799999994,-117.8704931
3,Riverside County,California,CA,11,341060.0,7303.42,5.2,-8.600000000000001,81.1,2417224,0.8079513412,8.9328833696,9.791374840347158,12.9,63776,0.6990568035022188,1,1,1,330.971517453467,33.721999100000005,-116.0372472
4,San Bernardino County,California,CA,12,307173.16666666674,20104.83,4.9,-8.6,79.2,2153203,0.7216533559,1.506748765,5.502104453405589,16.0,60270,0.6990568035022188,1,1,1,107.0987916833915,34.8253019,-116.0833144
5,Santa Clara County,California,CA,17,1009063.25,1304.07,3.2,-7.2,87.5,1933383,9.3384251057,-4.163642219,8.247339563367579,7.5,118468,0.6990568035022188,0,0,0,1482.5760887068946,37.2333253,-121.68463490000002
6,Alameda County,California,CA,22,742421.0,821.33,3.7,-7.2,87.5,1658131,6.5468981274,-0.525928104,9.589152456341292,9.3,95550,0.6990568035022188,1,0,1,2018.8365212521155,37.6090291,-121.899142
7,Sacramento County,California,CA,25,325200.33333333326,994.02,4.7,-7.899999999999999,87.0,1527718,2.9132398096,5.644196486699999,7.478750033417428,14.1,62959,0.6990568035022188,1,0,1,1536.9087141103796,38.4732259,-121.2980707
8,Contra Costa County,California,CA,37,613942.5833333335,803.77,3.8,-7.2,89.1,1144863,3.3934296996,3.2120144238,8.769484655967029,9.1,95062,0.6990568035022188,0,0,0,1424.3664232305262,37.9034806,-121.9175345
9,Fresno County,California,CA,46,220382.66666666663,6011.2,8.5,-8.2,74.6,986542,1.2990596071,0.8419453723,5.844991164760323,21.1,51452,0.6990568035022188,0,0,0,164.11731434655312,36.671350200000006,-119.8155355
10,Kern County,California,CA,62,199814.75,8162.64,9.2,-6.5,73.8,888988,1.0500471674,-0.8287469040000001,5.697015237696654,21.2,49904,0.6990568035022188,0,0,0,108.90937245793027,35.3145701,-118.7538222
11,Ventura County,California,CA,63,559748.5833333335,2208.38,4.5,-6.3000000000000025,84.0,850802,1.2660886509,-1.953259443,3.1112673154533224,9.5,82436,0.6990568035022188,0,0,0,385.26068883072656,34.4458248,-119.0779359
12,San Mateo County,California,CA,82,1148080.583333333,740.96,2.7,-5.7,88.9,768808,6.0585083265,-3.877653525,6.819688075306541,6.4,115908,0.6990568035022188,0,0,0,1037.583675232131,37.496904,-122.33305729999998
13,San Joaquin County,California,CA,87,318846.75,1426.5,7.0,-9.5,78.5,742516,1.4674161066999998,7.7493674989,8.056394763343404,15.5,60950,0.6990568035022188,1,0,1,520.5159481247811,37.9372901,-121.2773719
14,Stanislaus County,California,CA,125,274288.58333333326,1514.69,7.5,-9.4,77.7,545267,0.9550068261,4.002547914,5.8431764580280126,14.0,58925,0.6990568035022188,1,0,1,359.98587169651876,37.550087100000006,-121.0501425
15,Sonoma County,California,CA,137,577378.5833333335,1767.95,3.4,-7.4,87.6,503246,1.025340414,-1.098862886,3.810007096060861,9.3,79511,0.6990568035022188,0,0,0,284.6494527560168,38.5110803,-122.8473388
16,Tulare County,California,CA,146,190456.58333333328,4838.65,10.4,-6.799999999999999,68.6,463097,0.1733252448,-2.16656556,4.537984713111238,24.0,46377,0.6990568035022188,0,1,1,95.70789373068935,36.2516475,-118.852583
17,Santa Barbara County,California,CA,157,577022.5,3789.08,4.5,-5.199999999999998,80.5,445606,2.1993056125,-2.933905138,5.037538156917746,14.2,70651,0.6990568035022188,0,0,0,117.60268983499952,34.7136533,-119.9858232
18,Monterey County,California,CA,161,519768.83333333326,3771.22,7.2,-5.499999999999999,71.19999999999997,435477,0.8733182877,-6.49702842,4.582416737912948,11.9,70294,0.6990568035022188,0,0,0,115.47377241317136,36.2231079,-121.3877428
19,Solano County,California,CA,162,389442.75,906.19,4.8,-7.8,87.6,443877,1.5331015187,6.718924972000001,7.2311713661751345,10.0,75931,0.6990568035022188,0,0,0,489.8277403193591,38.2218938,-121.9163555
20,Placer County,California,CA,187,450180.83333333326,1502.46,3.9,-7.6999999999999975,94.5,385565,0.8681406754000001,15.265678503,10.153245758886484,7.8,81366,0.6990568035022188,0,0,0,256.62247247846864,39.1012064,-120.7650606
21,San Luis Obispo County,California,CA,239,557708.0,3615.55,3.6,-6.5,90.5,282838,0.5701173521,2.4539833852,4.8305257500787615,11.9,70634,0.6990568035022188,0,0,0,78.22820870960156,35.35402089999999,-120.3757163
22,Santa Cruz County,California,CA,250,749358.6666666665,607.17,5.7,-7.6,86.4,275105,0.960336991,-1.578735811,4.536283044606656,12.6,76633,0.6990568035022188,0,0,0,453.09386168618346,37.050096,-121.9905908
23,Merced County,California,CA,252,228688.41666666663,1978.51,9.4,-8.6,68.9,271340,0.274424219,4.0421945779,5.689980212828942,23.0,48036,0.6990568035022188,0,1,1,137.14360806869817,37.1641544,-120.7678602
24,Marin County,California,CA,256,1061646.416666667,828.19,2.9,-5.0,93.2,259725,2.0870247022,-4.408503377,2.6966647555406182,7.9,112735,0.6990568035022188,0,0,0,313.6055736002608,38.0409144,-122.6199638
25,Butte County,California,CA,284,255464.16666666663,1677.13,5.8,-8.100000000000001,88.7,229207,1.2243930697,11.493496235,4.211052763190798,18.1,48634,0.6990568035022188,0,0,0,136.66620953652966,39.6519275,-121.5858444
26,Yolo County,California,CA,308,403145.66666666674,1023.56,5.1,-7.0,86.19999999999997,218376,4.895069438999999,8.3566486751,8.599931371622663,17.5,64900,0.6990568035022188,0,1,1,213.34948610731172,38.7184542,-121.9059001
27,El Dorado County,California,CA,339,431986.33333333326,1786.36,4.4,-7.799999999999999,92.9,188722,0.6029818252,14.194085442,4.18973903154036,8.3,78464,0.6990568035022188,0,0,0,105.64611836359973,38.75741370000001,-120.5276129
28,Shasta County,California,CA,349,236938.0,3847.42,5.8,-11.0,90.7,179539,1.0108343572,6.5229532,1.2759692458694585,17.0,51207,0.6990568035022188,0,0,0,46.66477795509718,40.7965121,-121.9979194
